"post_title","post_name","post_type","post_status","post_parent","post_content","menu_order","_wp_page_template","descripcion_seo"
"3 Años","3-anos","page","publish","infantil","Fichas educativas para niños de 3 años. Recursos interactivos adaptados a la primera etapa de educación infantil.","1","page-hub-curso-infantil.php","Fichas interactivas para 3 años. Actividades de lógica, lectoescritura y conocimiento del entorno adaptadas a niños de educación infantil."
"4 Años","4-anos","page","publish","infantil","Fichas educativas para niños de 4 años. Recursos interactivos para el segundo año de educación infantil.","2","page-hub-curso-infantil.php","Fichas interactivas para 4 años. Ejercicios de matemáticas, lectoescritura y conocimiento del entorno para el segundo curso de infantil."
"5 Años","5-anos","page","publish","infantil","Fichas educativas para niños de 5 años. Recursos para preparar el paso a primaria desde educación infantil.","3","page-hub-curso-infantil.php","Fichas interactivas para 5 años. Actividades de preparación para primaria con ejercicios de lógica-matemática y lectoescritura."
"Lógica-Matemática","logica-matematica","page","publish","infantil/3-anos","Fichas de lógica-matemática para niños de 3 años. Números, formas, colores y conceptos básicos.","1","page-asignatura.php","Fichas de matemáticas para 3 años. Ejercicios de números, formas geométricas, colores y conceptos espaciales."
"Lectoescritura","lectoescritura","page","publish","infantil/3-anos","Fichas de lectoescritura para 3 años. Iniciación al trazo, vocales y grafomotricidad.","2","page-asignatura.php","Fichas de lectoescritura para 3 años. Ejercicios de grafomotricidad, trazos y reconocimiento de vocales."
"Conocimiento del Entorno","conocimiento-entorno","page","publish","infantil/3-anos","Fichas de conocimiento del entorno para 3 años. El cuerpo, la familia, animales y plantas.","3","page-asignatura.php","Fichas de conocimiento del entorno para 3 años. Actividades sobre el cuerpo humano, la familia y el entorno cercano."
"Inglés","ingles","page","publish","infantil/3-anos","Fichas de inglés para niños de 3 años. Vocabulario básico, colores, números y animales en inglés.","4","page-asignatura.php","Fichas de inglés para 3 años. Vocabulario básico en inglés: colores, números, saludos y animales."
"Lógica-Matemática","logica-matematica","page","publish","infantil/4-anos","Fichas de lógica-matemática para niños de 4 años. Números hasta 10, seriaciones y clasificaciones.","1","page-asignatura.php","Fichas de matemáticas para 4 años. Números hasta 10, sumas sencillas, formas geométricas y seriaciones."
"Lectoescritura","lectoescritura","page","publish","infantil/4-anos","Fichas de lectoescritura para 4 años. Vocales, consonantes y formación de palabras sencillas.","2","page-asignatura.php","Fichas de lectoescritura para 4 años. Vocales, primeras consonantes y palabras sencillas."
"Conocimiento del Entorno","conocimiento-entorno","page","publish","infantil/4-anos","Fichas de conocimiento del entorno para 4 años. Estaciones, oficios, medios de transporte.","3","page-asignatura.php","Fichas de conocimiento del entorno para 4 años. Las estaciones del año, oficios y medios de transporte."
"Inglés","ingles","page","publish","infantil/4-anos","Fichas de inglés para niños de 4 años. Vocabulario ampliado, frases simples y comprensión básica.","4","page-asignatura.php","Fichas de inglés para 4 años. Vocabulario ampliado en inglés con frases simples y comprensión básica."
"Lógica-Matemática","logica-matematica","page","publish","infantil/5-anos","Fichas de lógica-matemática para niños de 5 años. Números hasta 20, sumas y restas iniciales.","1","page-asignatura.php","Fichas de matemáticas para 5 años. Números hasta 20, primeras sumas y restas, problemas sencillos."
"Lectoescritura","lectoescritura","page","publish","infantil/5-anos","Fichas de lectoescritura para 5 años. Lectura fluida, escritura de palabras y frases cortas.","2","page-asignatura.php","Fichas de lectoescritura para 5 años. Lectura comprensiva, escritura de frases y preparación para primaria."
"Conocimiento del Entorno","conocimiento-entorno","page","publish","infantil/5-anos","Fichas de conocimiento del entorno para 5 años. El universo, el agua, los ecosistemas.","3","page-asignatura.php","Fichas de conocimiento del entorno para 5 años. El universo, los ecosistemas, el agua y las plantas."
"Inglés","ingles","page","publish","infantil/5-anos","Fichas de inglés para niños de 5 años. Conversación básica, comprensión oral y vocabulario avanzado.","4","page-asignatura.php","Fichas de inglés para 5 años. Conversación básica en inglés, comprensión oral y vocabulario avanzado."
